0.0605,0.4063,0.0662,0.5199
0.3510,0.7223,0.3135,0.6926
0.2179,0.2030,0.0182,0.3090
0.8630,0.2866,0.6708,0.7743
0.1747,0.3449,0.0920,0.3896
0.3698,0.1248,0.1134,0.6649
0.3226,0.0083,0.8441,0.9096
0.9009,0.2147,0.2972,0.3638
0.2892,0.9745,0.7817,0.0439
0.9775,0.2835,0.9400,0.1279
0.5329,0.3094,0.4407,0.0573
0.6492,0.2310,0.6843,0.9084
0.2250,0.5403,0.7756,0.3758
0.7586,0.8934,0.7657,0.3696
0.7925,0.2394,0.3748,0.4473
0.8761,0.3023,0.1241,0.6608
0.5080,0.9357,0.1920,0.1593
0.3672,0.2918,0.7157,0.4678
0.1433,0.6656,0.2616,0.0110
0.8007,0.5586,0.0206,0.5307
0.4964,0.3132,0.2428,0.2158
0.8194,0.8398,0.0179,0.1464
0.4942,0.3308,0.2615,0.9410
0.3175,0.8977,0.0328,0.2268
0.5006,0.9352,0.9589,0.5305
