0.06050,0.40632,0.06623,0.51985
0.35099,0.72225,0.31350,0.69260
0.21790,0.20298,0.01822,0.30895
0.86298,0.28662,0.67082,0.77430
0.17474,0.34494,0.09201,0.38964
0.36977,0.12481,0.11337,0.66492
0.32261,0.00831,0.84411,0.90962
0.90091,0.21475,0.29720,0.36379
0.28925,0.97447,0.78173,0.04388
0.97753,0.28345,0.93996,0.12787
0.53287,0.30943,0.44073,0.05730
0.64916,0.23103,0.68429,0.90842
0.22499,0.54027,0.77557,0.37578
0.75865,0.89339,0.76572,0.36964
0.79254,0.23944,0.37480,0.44731
0.87608,0.30230,0.12412,0.66083
0.50798,0.93573,0.19201,0.15925
0.36719,0.29177,0.71572,0.46782
0.14327,0.66556,0.26165,0.01098
0.80068,0.55862,0.02063,0.53073
0.49644,0.31324,0.24279,0.21581
0.81945,0.83982,0.01787,0.14644
0.49424,0.33083,0.26154,0.94097
0.31754,0.89774,0.03280,0.22682
0.50063,0.93520,0.95891,0.53054
